ALTERNATE AROUND PUDDINGSTONE
40.58 MILES, 1347 ELEVATION GAIN
Jeremy's cell: (626) 487 3194

S 	PRIMROSE AV
L 	COLORADO BL
R 	SHAMROCK AV
L 	ROYAL OAKS DR
R 	LAS LOMAS
L	HUNTINGTON
C 	FOOTHILL (STRAIGHT AT THE CURVE)
L	CITRUS AVE
C	FOOTHILL
R	AMELIA AVE
L	FOOTHILL
R 	N SAN DIMAS CANYON RD
	REGROUP
L 	EAST BONITA AVE
	BATHROOM BREAK AT MAGNOLIA AVE
	(KUNS PARK JUST PASSED WHEELER)
R	E STREET
C	FAIRPLEX DR
R	McKINLEY AVE
	SLIGHT LEFT AT BONELLI PK TRAIL
C	FISHERMAN PARK RD
R	VIA VERDE
R	RAGING WATERS DR
	REGROUP
L	SHARP LEFT ONTO PUDDINGSTONE DR
R	SAN DIMAS AVE
	COFFEE AT RAIL SIDE CAFE
	(JUST BEFORE BONITA)
WEST	ON BONITA
L	CATARACT AVE
R	COVINA BLVD
L 	AZUSA AVE
	REGROUP
R 	CYPRESS ST
L	AZUSA CANYON RD
R	LOS ANGELES ST
R	LOWER AZUSA RD (SLIGHT R)
R	ROSEGLEN ST
	REGROUP
R	COGSWELL RD
L	SHARP LEFT RIO HONDO PKW
R	PECK RD
C 	MYRTLE
	ARRIVE AT VON'S PARKING LOT
