CLAREMONT EDIR LANIGIRO
44 MI, 1700 ELEV GAIN
https://www.mapmyride.com/routes/view/2865616513
Jeremy's cell: (626) 487 3194

S	PRIMROSE AV
L	COLORADO BL
R	SHAMROCK AV
L	ROYAL OAKS DR
R	ENCANTO PKWY
L	BIKE BRIDGE (4 MILES)
	REGROUP
R	SAN GABRIEL BIKE PATH
	TO SANTA FE DAM
C	AZUSA CANYON RD
L	SAN BERNARDINO RD
R	ORANGE AVE
L	BADILLO ST
	REGROUP
C	COVINA BLVD
C	CATERACT AVE
R	BONITA AVE
L	INDIAN HILL BLVD
	REGROUP
L	BASELINE RD
COFFEE	MR. D'S DINER
	931 BASELINE RD
	AT FOOTHILL BLVD
W	FOOTHILL BLVD
R	AMELIA AVE
	REGROUP
L	FOOTHILL BLVD
R	VALLEY CENTER AVE
L	SIERRA MADRE AVE
	REGROUP
R	TODD AVE
L	SGR BIKE TRAIL
R	BIKE BRIDGE
	REGROUP
R	ENCANTO PKWY
L	ROYAL OAKS DR
R	SHAMROCK AVE
L	COLORADO BLVD
R	PRIMROSE AVE

