THREE HEIGHTS
57.74 MI	
http://www.mapmyride.com/routes/view/2033469820

S	PRIMROSE AV
L	COLORADO BLVD
R	SHAMROCK AV
L	ROYAL OAKS DR
R	ENCANTO PKWY
L	BIKE BRIDGE
STOP AND REGROUP	
R/S	SGR BT
EXIT SANTE FE DAM	
INTO	AZUSA CANYON RD
L	CYPRESS ST
R	LARK ELLEN AV
STOP AND REGROUP
AT CAMERON ST. THERE IS A
BATHROOM BREAK IF NEEDED
L	AMAR RD
R	SHADOW OAK DR
R	NOGALES ST
L	PUENTE RD
R	LEMON AV
L	LYCOMING ST
STOP AND REGROUP	
R	BREA CANYON RD
L	PATHFINDER
R	BREA CANYON RD
STOP AND REGROUP	
R	DIAMOND BAR BL
INTO	BREA CYN CUT-OFF RD
L       PATHFINDER RD
L	FULLERTON RD
QR	FULLERTON RD
R	EAST RD
STOP AND REGROUP	
L	HACIENDA RD
R	WEST RD
STOP AND REGROUP	
R	CONDESSA DR
R	LA SERMA DR
L	YOUNGWOOD DR
R	VILLAVERDE DR
L	MAR VISTA ST
STOP AND REGROUP	
R	GREENLEAF AV
STOP	COFFEE BEAN & TEA (40 miles)
	7201 GREENLEAF
N	GREENLEAF AV
L	HADLEY ST
R	PICKERING AV
L	BEVERLY DR
R	CITRUS AV
L	BEVERLY DR
STOP AND REGROUP	
R	WORKMAN MILL RD
INTO	PECK RD
R	S.GAB.RIVER TRAIL
STOP AND REGROUP	
L	ARROW HWY
R	AVENIDA BARBOSA
R	BUENA VISTA DR
L	ROYAL OAKS DR
R	SHAMROCK AV
L	COLORADO BLVD
R	PRIMROSE AV

