BREA CANYON WITHOUT THE CANYON 
43 MI 1,300 FT GAIN
Jeremy's cell: (626) 487 3194

S	MYRTLE AV
INTO	PECK RD
R	DURFEE AV (7 MILES)
	REGROUP
INTO	PECK RD
INTO	WORKMAN MILL RD
INTO	NORWALK BL (11.25 MILES)
	REGROUP AT BEVERLY BL
C	NORWALK BL
L	SLAUSON
INTO	MULBERRY
L	SCOTT AV (18.75 MILES)
	REGROUP AT PARNELL PARK
NORTH	SCOTT AV
L	WHITTIER BLVD
R	COLIMA RD
L	S AZUSA AVE
	COFFEE AT STARBUCKS
	1522 S AZUSA AVE
NORTH	S AZUSA AVE
L	BADILLO ST (32 MILES)
R	SUNSET AV
INTO	IRWINDALE AV
L	ARROW HWY
	REGROUP
R	AVENIDA BARBOSA
INTO	BUENA VISTA ST
L	ROYAL OAKS DR
R	SHAMROCK AV
L	WALNUT AV
R	PRIMROSE AV (43 MILES)
