B ride - CLAREMONT ORIGINAL RIDE 
34 MI, 1250 ELEV GAIN
http://www.mapmyride.com/routes/view/950340841

S	PRIMROSE AV
L	COLORADO BL
R	SHAMROCK AV
L	ROYAL OAKS DR
R	ENCANTO PKWY
L	BIKE BRIDGE (4 MILES)
	REGROUP
L	SAN GABRIEL BIKE PATH
R	TODD AV
L	SIERRA MADRE AV
R	VALLEY CENTER (10.5 MILES)
	REGROUP
L	FOOTHILL BL
R	AMELIA AV
L	FOOTHILL BL
R	SAN DIMAS AVE
	COFFEE AT STAR BUCKS (16 MILES)
	(SAN DIMAS AND BONITA)	
L	BONITA AV (WEST)
L	CATARACT AV
	REGROUP
INTO	COVINA BL
INTO	BADILLO ST
R	ORANGE AV (24 MILES)
L	SAN BERNADINO RD
R	AZUSA CANYON RD
	REGROUP
INTO	SANTA FE DAM ENTRANCE
R	SAN GABRIEL BIKE PATH
L	BIKE BRIDGE
R	ENCANTO PKWY
L	ROYAL OAKS DR
R	SHAMROCK AV
L	COLORADO BL
R	PRIMROSE AV (34 MILES)
