B RIDE TUNA CANYON W/O CYN
ABOUT 40 MILES

S	PRIMROSE AV
R	CHESTNUT/SANTA CLARA
R	HUNTINGTON DR
R	MONTEREY RD
STOP AND REGROUP	
INTO	PASADENA AV
INTO	YORK BL
R	AVE 64
L	MERIDIAN ST
R	FIGUEROA ST
L	YOSEMITE DR
STOP AND REGROUP	
R	EAGLE ROCK BL
L	COLORADO BL
R	BROADWAY
INTO	WILSON AV
R	VERDUGO RD
L	GLENOAKS BL
	COFFEE AT PARADISE BAKERY
	1825 GLENOAKS BL
EAST	GLENOAKS BL
R	JACKSON ST 
	REGROUP
L	WILSON AV
R	VERDUGO RD
L	COLORADO ST
INTO	COLORADO BL
R	ELLENWOOD DR
L	FAIR PARK AV
Q R	ELLENWOOD DR
L	YOSEMITE DR 
R	FIGUEROA ST 
	REGROUP
L	MERIDIAN ST
R	AVE 64
L	YORK BL 
INTO	PASADENA AV
INTO	MONTEREY RD
R	VIRGINIA RD 
	REGROUP
L	HUNTINGTON DR
INTO	SANTA CLARA ST
INTO	CHESTNUT AV
L	PRIMROSE AV 
