B VERSION OF "PARNELL PARK W/O HARBOR BLVD." 
37 MILES 900 FT ELEV GAIN
http://www.mapmyride.com/routes/view/1964527805

S	MYRTLE AV
INTO	PECK RD
R	DURFEE AV (7 MILES)
	REGROUP
INTO	PECK RD
L	PELLISIER PL
INTO	WORKMAN MILL RD
R	DON JULIAN RD
R	HACIENDA BLVD
L	GALE AVE
	COFFEE AT STARBUCKS (19 MILES)
	(18200 GALE AV)
	(MEET A GROUP)
	GALE AV (BACK TRACK)
R	AZUSA AV
L	AMAR RD 
R	LARK ELLEN AV 
	REGROUP
L	BADILLO ST
R	IRWINDALE AV
L	CYPRESS ST
R	AZUSA CANYON RD 
	REGROUP
L	ARROW HWY 
R	AVENIDA BARBOSA
INTO	BUENA VISTA ST
L	ROYAL OAKS DR
R	SHAMROCK AV
L	COLORADO BLVD
R	PRIMROSE AV (37 MILES)
