SILVER LAKE & GRIFFITH PARK
42 Miles 1338 FT GAIN
http://www.mapmyride.com/routes/view/950349927

S	PRIMROSE AV
R	CHESTNUT AV/SANTA CLARA ST
R	HUNTINGTON DR
R	MONTEREY RD	 (6.5 MILES)
	REGROUP
INTO	PASADENA AV/YORK BL
R	AV 65 (11 MILES)
	REGROUP
L	POLLARD ST
R	AV 64
L	MERIDIAN ST
        WASHROOM BRK AT BASEBALL
	PARK ON MERIDIAN
R	AV 49
L	STRATFORD RD
R	CAMPUS RD
L	ALUMNI AV
R	YORK BL
L	EAGLR ROCK BL
R	AV 36 (14.75 MILES)
	REGROUP
INTO	FLETCHER DR
R	SAN FERNANDO RD
GO	A LONG WAY
R	IRVING AVE
R	GLENOAKS BLVD
COFFEE	PARADISE BAKERY
1825	W GLENOAKS BLVD
E	GLENOAKS BLVD
R	JACKSON ST
L	COLORADO ST
C	COLORADO BLVD
R	ELLENWOOD DR
L	FAIR PARK AVE
QR	ELLENWOOD DR
L	YOSEMITE DR
R	FIGEUROA ST
L	YORK BLVD
C	PASADENA AVE
C	MONTEREY RD
R	VIRGINIA RD
L	HUNTINGTON DR
C	SANTA CLARA ST
L	PRIMROSE AVE

