B RIDE VERSION OF THREE HEIGHTS
43.5 MILES AND 1211 FT OF ELEVATION

S	PRIMROSE AV
L	COLORADO BLVD
R	SHAMROCK AV
L	ROYAL OAKS DR
R	ENCANTO PKWY
L	BIKE BRIDGE
STOP AND REGROUP	
R  S	SGRBT
EXIT SANTE FE DAM	
INTO	AZUSA CANYON RD
L	CYPRESS ST
R	LARK ELLEN AV
STOP AND REGROUP
AT CAMERON ST. THERE IS A 
BATHROOM BREAK IF NEEDED
L	AMAR RD
R	SHADOW OAK DR
R	NOGALES ST
L	PUENTE RD
R	LEMON AV
R	E WALNUT DR
INTO	GALE AVE
	COFFEE AT STARBUCKS
	(18200 GALE)
C	GALE AVE
R	S 7TH AVE
L	DON JULIAN RD
L	WORKMAN MILL RD
INTO	PELLISSIER PL
R	PECK RD
INTO	DURFEE AV
L	RUSH ST
STOP AND REGROUP	
R	PECK RD
INTO	MYRTLE AV
