TURNBULL CANYON COUNTER CLOCKWISE W/O CANYON 
38.45 MI, 1026 FT ELEVATION

S	MYRTLE AVE
INTO	PECK RD
L	RUSH ST
STOP AND REGROUP	
R	DURFEE AV
INTO	PECK RD
INTO	WORKMAN MILL RD
L	PELLISSIER RD
INTO	WORKMAN MILL RD
R	DON JULIAN RD
L	HACIENDA BL
STOP AND REGROUP	
INTO	GLENDORA AV
INTO	VINCENT AV
R	BADILLO ST
STOP AND REGROUP	
L	GLENDORA AV
STOP Classic Coffee, 148 N. Glendora 	
N	GLENDORA AV
L	LEADORA AV
R	BARRANCA AV
L	SIERRA MADRE AV
STOP AND REGROUP	
R	TODD AV
L	SGRBT 
R	BIKE BRIDGE
R	ENCANTO PKWY
L	ROYAL OAKS DR
R	CALIFORNIA AV
L	COLORADO BLVD
R	PRIMROSE AV
