TUESDAY RIDE TO PICO RIVERA

S	MYRTLE AV
R	CHESTNUT AVE
L	MAYFLOWER AVE
R	CAMINO REAL
L	10TH AVE
R	SANDRA ST
L	FOSS AVE
C	CENTER ST
R	DAINES DR
L	RIO HONDO BIKE PATH
R	RIO HONDO BIKE PATH (@DAM)
R	SAN GABRIEL VLD
L	RIO HONDO BIKE PATH (@LINCOLN AVE)
R	RIO HONDO BIKE PATH (@DAM)
L	CROSS BIKE BRIDGE (BEFORE WASHINGTON AVE)
L	RIO HONDO BIKE PATH
R	RIO HONDO BIKE PATH
L	RIO HONDO BIKE PATH
R	MINES AVE
L	SAN GABRIEL BIKE PATH
L	GLENCANNON DR
R	PASSONS BLVD
L	WHITTIER BLVD
COFFEE	@ STARBUCKS
9329	WHITTIER BLVD
	PICO RIVERA CA
W	WHITTIER BLVD
R	DURFEE AVE
C	KRUSE RD
R	NARROWS DR
L	SANDOVAL AVE
R	BRADGATE DR
L	FAIRWAY DR
R	ONTO SAN GABRIEL BIKE PATH
N	SAN GABRIEL BIKE PATH
L	SIPHON RD
L	DURFEE AVE / SAN GABRIELD BLVD
R	RIO HONDO BIKE PATH
L	RIO HONDO BIKE PATH
L	RIO HONDO BIKE PATH (@DAM)
R	DAINES DR
L 	CENTER ST
R	SANDRA ST
L	10TH AVE
R	CAMINO REAL AVE
L	MAYFLOWER AVE
R	CHESTNUT AVE
L	PRIMROSE AVE
